model_key,dataset,module,locus_id,fit_seed,template,concept,expected_rows,actual_unique_rows,failed_rows,execution_status,reason,template_eligible,template_reason,primary_template,is_primary_template,run_status,completed_modules,ineligible_modules,requested_modules,block_included,probe_graded,cell,readable,n_pos,n_neg,selectivity,answer_capable,answer_auroc,W_qq,O_q,verdict,steering_reference,owned,altdir_owned_dom,altdir_owned_pattern,altdir_owned_orth,altdir_owned_resid,altdir_O_q_dom,altdir_O_q_pattern,altdir_O_q_orth,altdir_O_q_resid,valid_readable,valid_answer_capable,valid_owned,valid_O_q,valid_verdict,attrrand_random_p95,attrrand_steering_reference,attrrand_steering_reference_sham_only,attrrand_steering_reference_rule,attrrand_O_q,attrrand_verdict,validfit_owned,validfit_O_q,validfit_verdict,validfit_steering_reference,validfit_cos_to_report_model,validfit_cos_to_report_whitened,validfit_auroc_expert_heldout,validfit_auroc_report_labels_heldout,projseed_owned_seed1,projseed_owned_seed2,projseed_O_q_seed1,projseed_O_q_seed2,towerswap_tower,towerswap_reader,towerswap_W_qq,towerswap_O_q,towerswap_verdict,towerswap_steering_reference,towerswap_owned,towerswap_owned_native,towerswap_owned_changed,towerswap_dW_qq,towerswap_reader_over_tower,towerswap_crossover_complete,replay_source_block,replay_W_qq,replay_O_q,replay_verdict,replay_steering_reference,replay_owned,replay_owned_core,replay_owned_changed,replay_dW_qq,replay_drift_max_abs,semend_sign,semend_value,semend_competitor,semend_E_own,semend_E_max_other,semend_E_sham,semend_random_max,semend_rank_in_random_family,semend_O_q,semend_verdict,semend_steering_reference,semend_owned,semend_owned_core,semend_intended,semend_unintended_mean,semend_unintended_max,semend_selectivity,semend_answer_E_own,semend_answer_owned,semend_answer_selectivity
chexagent-3,chexpert,CORE,vis.last,0,IY,Effusion,76200,76200,0,COMPLETE,,true,,IY,true,COMPLETE,CORE|CALIBRATION|PROMPT|DOSE|REFIT|LOCUS|LOCUS_CALIBRATION,,CORE|CALIBRATION|PROMPT|DOSE|REFIT|LOCUS|LOCUS_CALIBRATION,true,true,true,true,117,93,0.23878444809471666,true,0.9777593971142358,0.05283727095463107,0.026714440538062798,fixed_family_advantage,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chexagent-3,chexpert,CORE,vis.last,0,IY,Atelectasis,76200,76200,0,COMPLETE,,true,,IY,true,COMPLETE,CORE|CALIBRATION|PROMPT|DOSE|REFIT|LOCUS|LOCUS_CALIBRATION,,CORE|CALIBRATION|PROMPT|DOSE|REFIT|LOCUS|LOCUS_CALIBRATION,true,true,true,false,67,4,0.17043875842596534,false,0.9552238805970149,0.0019365433662623332,-0.020298867676089023,stronger_competitor,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chexagent-3,chexpert,CORE,vis.last,0,IY,Pneumothorax,76200,76200,0,COMPLETE,,true,,IY,true,COMPLETE,CORE|CALIBRATION|PROMPT|DOSE|REFIT|LOCUS|LOCUS_CALIBRATION,,CORE|CALIBRATION|PROMPT|DOSE|REFIT|LOCUS|LOCUS_CALIBRATION,true,true,true,true,17,136,0.11236867585150556,true,0.916955017301038,0.03499685447251031,0.005915982169467576,fixed_family_advantage,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chexagent-3,chexpert,CORE,vis.last,0,IY,Cardiomegaly,76200,76200,0,COMPLETE,,true,,IY,true,COMPLETE,CORE|CALIBRATION|PROMPT|DOSE|REFIT|LOCUS|LOCUS_CALIBRATION,,CORE|CALIBRATION|PROMPT|DOSE|REFIT|LOCUS|LOCUS_CALIBRATION,true,true,true,true,49,46,0.25883166678246816,true,0.9751552795031055,0.04439264488015571,0.015406255525701365,fixed_family_advantage,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chexagent-3,chexpert,CORE,vis.last,0,IY,Consolidation,76200,76200,0,COMPLETE,,true,,IY,true,COMPLETE,CORE|CALIBRATION|PROMPT|DOSE|REFIT|LOCUS|LOCUS_CALIBRATION,,CORE|CALIBRATION|PROMPT|DOSE|REFIT|LOCUS|LOCUS_CALIBRATION,true,true,true,true,25,83,0.2619649516450464,true,0.971566265060241,0.038945443353186816,0.007653350483633407,fixed_family_advantage,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chexagent-3,chexpert,CORE,vis.last,0,IY,Edema,76200,76200,0,COMPLETE,,true,,IY,true,COMPLETE,CORE|CALIBRATION|PROMPT|DOSE|REFIT|LOCUS|LOCUS_CALIBRATION,,CORE|CALIBRATION|PROMPT|DOSE|REFIT|LOCUS|LOCUS_CALIBRATION,true,true,true,true,70,54,0.20711805368275016,true,0.9317460317460318,0.03947016098739511,-0.0005665554727573921,unresolved,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chexagent-3,chexpert,CALIBRATION,vis.last,0,IY,Effusion,400,400,0,COMPLETE,,true,,IY,true,COMPLETE,CORE|CALIBRATION|PROMPT|DOSE|REFIT|LOCUS|LOCUS_CALIBRATION,,CORE|CALIBRATION|PROMPT|DOSE|REFIT|LOCUS|LOCUS_CALIBRATION,true,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chexagent-3,chexpert,CALIBRATION,vis.last,0,IY,Atelectasis,400,400,0,COMPLETE,,true,,IY,true,COMPLETE,CORE|CALIBRATION|PROMPT|DOSE|REFIT|LOCUS|LOCUS_CALIBRATION,,CORE|CALIBRATION|PROMPT|DOSE|REFIT|LOCUS|LOCUS_CALIBRATION,true,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chexagent-3,chexpert,CALIBRATION,vis.last,0,IY,Pneumothorax,400,400,0,COMPLETE,,true,,IY,true,COMPLETE,CORE|CALIBRATION|PROMPT|DOSE|REFIT|LOCUS|LOCUS_CALIBRATION,,CORE|CALIBRATION|PROMPT|DOSE|REFIT|LOCUS|LOCUS_CALIBRATION,true,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chexagent-3,chexpert,CALIBRATION,vis.last,0,IY,Cardiomegaly,400,400,0,COMPLETE,,true,,IY,true,COMPLETE,CORE|CALIBRATION|PROMPT|DOSE|REFIT|LOCUS|LOCUS_CALIBRATION,,CORE|CALIBRATION|PROMPT|DOSE|REFIT|LOCUS|LOCUS_CALIBRATION,true,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
